商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),公開フラグ,商品ステータス,メーカーURL,コメント2,検索ワード,コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル（1）,詳細-サブコメント（1）,詳細-サブ画像（1）,詳細-サブ拡大画像（1）,詳細-サブタイトル（2）,詳細-サブコメント（2）,詳細-サブ画像（2）,詳細-サブ拡大画像（2）,詳細-サブタイトル（3）,詳細-サブコメント（3）,詳細-サブ画像（3）,詳細-サブ拡大画像（3）,詳細-サブタイトル（4）,詳細-サブコメント（4）,詳細-サブ画像（4）,詳細-サブ拡大画像（4）,詳細-サブタイトル（5）,詳細-サブコメント（5）,詳細-サブ画像（5）,詳細-サブ拡大画像（5）,発送日目安,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1,1,,,,,,,Co-Co Life 全冊セット(Vol.2〜Vol.13),,1,0,,,,,,,,"障がいをもつ人たちの
社会への繋がりを支援する
こころのバリアフリーマガジン",01301414_5108ac473644b.jpg,"障がいをもつ人たちの
社会への繋がりを支援する
こころのバリアフリーマガジン

『Co-Co Life(ココライフ)』

Co-Co Life　Vol.2〜Vol.13の全冊セットです。
Para-Life(Co-Co Lifeの前身として発行)の
Vol.0、Vol.1もプレゼント!
1冊ずつご購入頂くより1000円分お得です☆

Co-Co Life
巻頭特集

【Vol.2】街ではたらく!遊ぶお金　出会い　そして夢
【Vol.3】まずは始める、すると楽しい、だったら極めたい!　スポーツの中に新しい自分がいた
【Vol.4】アートで広がる無限の可能性
【Vol.5】明るい気分で、アクティブな生活を　「オシャレが好き!」
【Vol.6】仕事に生かせる、趣味が広がる、自身につながる　資格・検定に挑戦!
【Vol.7】アウトドア体験にチャレンジ　空、海、山、大自然が待っている!
【Vol.8】住み心地から、部屋探しの方法まで徹底取材　快適ひとり暮らし
【Vol.9】出会い、恋、結婚。今こそ語ろう　愛のゆくえ
【Vol.10】何かが変わる!パワースポットへ
【Vol.11】疾走感、迫力、スピードetc.　公営競技はアミューズメント
【Vol.12】総勢21名の読者モデルが誌面を彩る Co-Co Life　Fashion Collection 2010　Autumn/Winter
【Vol.13】5名の女性の光り輝くストーリー　Brilliant women",01301414_5108ac4729aa5.jpg,01301414_5108ac470233e.jpg,,,,,,,,,,,,,,,,,,,,,0,,,1,0,0,0,,5000,0,0,,,,,,,,,,,,,,,,,1,
12,12,,,,,,,手の平駆動の方に・グリップマスター　ショート,,1,0,,,,,,,,頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!,01301430_5108aff834b84.jpg,"頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!
雨の日もグローブが滑らないよう特殊配合した革を使用。
雨にぬれても安心です。

【特徴】
●ゴムと同等のグリップ力
●雨、汗でぬれてもハンドリムをしっかりグリップ
●フィット感抜群。天然皮革は使い込むと自分の手の形に馴染みます。
●通気性があり、むれにくい。
●洗濯でき、いつも清潔に利用することができます。
●サイズが豊富で手にしっかりフィット!

■サイズ(手のひらまわり)
S:19cm
M:19.5cm
L:20cm
LL:21cm

※こちらのショートタイプは主に手のひら駆動の方用です。
主に手首駆動する方用のロングタイプもあります。",01301430_5108aff82be62.jpg,01301430_5108aff8270a1.jpg,,,,,,,,,,,,,,,,,,,,,0,,,11,0,0,0,,3496,0,0,,,,,,,,,,,,,,,,,5,
11,11,,,,,,,手の平駆動の方に・グリップマスター　ショート,,1,0,,,,,,,,頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!,01301430_5108aff834b84.jpg,"頸椎損傷やリウマチ等で手の不自由な方で、主に手の平駆動の方へ!
雨の日もグローブが滑らないよう特殊配合した革を使用。
雨にぬれても安心です。

【特徴】
●ゴムと同等のグリップ力
●雨、汗でぬれてもハンドリムをしっかりグリップ
●フィット感抜群。天然皮革は使い込むと自分の手の形に馴染みます。
●通気性があり、むれにくい。
●洗濯でき、いつも清潔に利用することができます。
●サイズが豊富で手にしっかりフィット!

■サイズ(手のひらまわり)
S:19cm
M:19.5cm
L:20cm
LL:21cm

※こちらのショートタイプは主に手のひら駆動の方用です。
主に手首駆動する方用のロングタイプもあります。",01301430_5108aff82be62.jpg,01301430_5108aff8270a1.jpg,,,,,,,,,,,,,,,,,,,,,0,,,11,0,0,0,,3496,0,0,,,,,,,,,,,,,,,,,5,
10,10,,,,,,,かきポンくん専用スタンドケース,,1,0,,,,,,,,簡易筆談器「かきポンくん」専用のスタンドケース。,01301428_5108af991b443.jpg,"簡易筆談器「かきポンくん」専用のスタンドケース。

受付や窓口などではせっかく用意した筆談器を
カウンターの下にしまいこんでしまうことも多いのですが、
必要性を申し出ることに負担を感じている人もいます。
　
ぜひ窓口の見える所に置いてください。
聞こえない、聞こえにくい方々への
配慮があることをアピールできます。 ",01301428_5108af9919162.jpg,01301428_5108af9916dff.jpg,,,,,,,,,,,,,,,,,,,,,0,,,10,0,0,0,,2740,0,0,,,,,,,,,,,,,,,,,4,
9,9,,,,,,,音声で知らせる体重計!タニタ　体組成計　音声インナースキャン,,1,0,,,,,,,,設定手順や測定結果を音声で教えてくれる体組成計!,01301427_5108af42e08be.jpg,"設定手順や測定結果を音声で教えてくれる体組成計!

体重の他、筋肉量、体脂肪率、内臓脂肪レベル、基礎代謝量 もチェックできます。

4人分の年齢、性別、身長のデータを登録することができます。

■サイズ:幅32×奥行33.1×厚さ3.6cm
■重量:約2.6kg(乾電池含む)
■最大計量:150kg
■登録人数:4人
■付属品:単3乾電池4本",01301427_5108af42de711.jpg,01301427_5108af42dc305.jpg,,,,,,,,,,,,,,,,,,,,,0,,,9,0,0,0,,18900,0,0,,,,,,,,,,,,,,,,,3,
8,8,,,,,,,旧型　車いすストラップ　赤 ,,1,0,,,,,,,,"Co-Co Life特製　車いすストラップ
こちらは旧型です。",01301425_5108aeda11ce7.jpg,"Co-Co Life特製　車いすストラップ
こちらは旧型です。

車イスバスケの車イスをモチーフにした
携帯電話用ストラップ。

小さいながら細かいつくりで、カッコいい!!

リアルさにこだわったため、
特に車輪部分が大変壊れやすい商品となっております。
ご了承の上、ご購入ください。

車輪を座面にくっつけ、壊れにくく改良した新型も販売中!",01301425_5108aeda0817a.jpg,01301425_5108aed9df8e1.jpg,,,,,,,,,,,,,,,,,,,,,0,,,8,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,2,
7,7,,,,,,,Co-Co Life Vol.13 2011年1月号,,1,0,,,,,,,,"障がいがあることは、夢の実現の壁にはならない。
Co-Co Life Vol.13ではそれを実感させてくれる5名の女性を紹介。",01301424_5108ae8151b7a.jpg,"障がいがあることは、夢の実現の壁にはならない。
Co-Co Life Vol.13ではそれを実感させてくれる5名の女性を紹介。
4大会連続でパラリンピックに出場の「水の女王」成田真由美さん、
広い校内を車いすで自由自在に動き回る小学校教諭 加治良美さん、
手話にダンスとできることすべてで表現する女優・サインボーカル・ダンサーの大橋ひろえさん、
盲導犬ナンシーと共に活動するトロンボーンソリスト鈴木加奈子さん、
障がい者の自立や取り巻く環境問題に市議会議員として取り組む傳田ひろみさん。
自分を信じること、努力すること、人生を楽しむこと…。
彼女たちの言葉には、きっとあなたを輝かせるエッセンスがある。


今回のスペシャルインタビューは現役自体からだれからも愛されるキャラクター、元大関の小錦八十吉さん【ミュージシャン】。
チャリティー活動にも取り組む彼が贈る読者へのメッセージとは。


Co-Co Sportsの 「PICK UP ATHLETE」では身体障害者野球の日本代表 岡原年秀選手をピックアップ。
また今回は特別編として2010年11月に開催されたスペシャルオリンピックスを紹介。


読者モデルの登場する「Beauty Selection オシャレして出かけよう!」や、
お出かけスポットを提案する「Co-Co Play Spot」、
さまざまな障がいをもつ読者と編集部が紹介する「クチコミグルメ」、
障がいのある子をもつ親にスポットをあてた「障がいのある子を持つということ」なども必見!!

今号も情報盛りだくさんでお届け!!


『Co-Co Life(ココライフ)』は障がい者を対象にした情報誌で、障がいを持ちながらアクティブに活動している人を取り上げています。
誌面で取り上げた人たちの姿を通じて、読者自らが何かしらアクションを起こすことを目的としています。
アクションは「働いてみよう」でも「スポーツをしてみよう」でも「おしゃれをしてみよう」でもかまいません。
とりあえず、一歩踏み出すことが大事と考えます。



発送方法は佐川急便です。
クロネコメール便(送料105円)をご希望の方はCo-Co Lifeホームページへ
http://www.co-co.ne.jp/subscribe.php",01301424_5108ae814835a.jpg,01301424_5108ae812c221.jpg,,,,,,,,,,,,,,,,,,,,,0,,,7,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,1,
6,6,,,,,,,旧型　車いすストラップ　青,,1,0,,,,,,,,"Co-Co Life特製　車いすストラップ
こちらは旧型です。",01301422_5108ae30a14de.jpg,"Co-Co Life特製　車いすストラップ
こちらは旧型です。

車イスバスケの車イスをモチーフにした
携帯電話用ストラップ。

小さいながら細かいつくりで、カッコいい!!

リアルさにこだわったため、
特に車輪部分が大変壊れやすい商品となっております。
ご了承の上、ご購入ください。

車輪を座面にくっつけ、壊れにくく改良した新型も販売中!",01301422_5108ae3094e3e.jpg,01301422_5108ae306ed09.jpg,,,,,,,,,,,,,,,,,,,,,0,,,6,0,0,0,,500,0,0,,,,,,,,,,,,,,,,,2,
5,5,,,,,,,アルケア　リモイスバリア　160g　18031 ,,1,0,,,,,,,,「リモイスバリア」は肌にうるおいを与える撥水性スキンケアクリームです。,01301421_5108addf6a0dd.jpg,"●撥水力で肌をしっかり守るうるおいバリア!
●撥水性を持つ保護膜が、汚れや外的刺激から肌を保護。頻繁な刺激にも、優れた撥水性を発揮します。
●pH緩衝能により、強い刺激から肌をやさしく保護します。
●保湿成分配合で肌をしっとりなめらかに保ちます。
●撥水クリーム特有のべたつきが少なく、皮膚によくなじみ、なめらかで自然な使用感です。

「リモイスバリア」は肌にうるおいを与える撥水性スキンケアクリームです。

失禁部位などの皮膚障害が予測される部位へ塗ることで、皮膚に撥水性の保護膜を作り、
スキントラブルの要因となる便や尿を直接皮膚に触れさせません。

【撥水】と【保湿】2つの効果で肌をすこやかに保ちます。

オムツかぶれが気になる方へもおススメです。
≪オムツかぶれは、なぜ起こる?≫
オムツかぶれが起こりやすい方の皮膚は、加齢や疾患の影響などで乾燥し傷つきやすく、
皮膚障害がおこりやすくなっています。

加えて、便や尿などの強い刺激、オムツの密封性などが重なると皮膚が炎症をおこし、
治癒することが難しくなってしまいます。
これがオムツかぶれです。

■スキントラブルの要因
(1)便
便の中にある消化酵素やアルカリ性の傾向にある水様便が皮膚に刺激を与えます。

(2)尿
皮膚に付着した時間が経過した尿はアルカリ性となり、皮膚に刺激を与えます。

(3)ムレ
オムツの中はムレやすく、皮膚が水分を含み軟化(ふやけ)しやすい環境になっています。

リモイスバリアなら、
◎皮膚に撥水性の保護膜を作り、便や尿を直接皮膚に触れさせません。
また、保湿成分配合で肌をしっとりなめらかにします。

◎「撥水」と「保湿」でオムツかぶれのおきにくい、すこやかな肌を保ちます。

■内容量:160g　1本

■使用方法
●皮膚の汚れを取り清潔にし、乾燥させてからお使いください。
(1)適量(100平方センチメートルに対してさくらんぼ小粒大/約2g)を指先に取ります。
(2)皮膚に塗り、クリームの乳白色が目立たなくなるよう均一に伸ばしてください。
●保護効果を維持するため、適時塗り直してください。
また、塗布部を洗浄した際も塗り直してください。

■原材料・成分
水、シクロペンタシロキサン、ジメチコン、BG、グリセリン、トリメチルシロキシケイ酸、PEG-10ジメチコン、クエン酸Na、クエン酸、ジステアルジモニウムヘクトライト、PEG-150、PEG-32、(ジメチコン/ビニルジメチコン)クロスポリマー、マカデミアナッツ油、ホホバ油、ヒアルロン酸Na、フェノキシエタノール、メチルパラペン

安全上のお知らせ
●傷、湿疹・皮膚炎等、皮膚にトラブルのある場合は使用しないでください。
●発赤・はれ・かゆみ・刺激等の異常が生じた場合には、ただちに使用を中止し、医師にご相談ください。使い続けると悪化するおそれがあります。
●テープ等の粘着剤を貼付する部分には使用しないでください。テープ等の固定力を著しく低下させる可能性があります。
●誤って飲み込んだ場合は、速やかに医師にご相談ください。
●過度な摩擦や頻回な清拭等により保護効果が弱まることがあります。必要に応じて塗り直してください。
●直射日光を避け、室温で保管してください。
●乳幼児、小児の手の届かない所に保管してください。",01301421_5108addf616bf.jpg,01301421_5108addf5d813.jpg,,,,,,,,,,,,,,,,,,,,,0,,,5,0,0,0,,2173,0,0,,,,,,,,,,,,,,,,,6,
4,4,,,,,,,靴べら　Vela(ヴェラ),,1,0,,,,,,,,靴のかかとにはさみこんで、足を入れるだけの新しい発想の靴べらです。,01301419_5108ad7e78a92.jpg,"靴のかかとにはさみこんで、足を入れるだけの新しい発想の靴べらです。
手や足にお悩みがある方、かがむ姿勢がつらい方など、
履きたい靴を自分でうまく履けずにあきらめていた方でも、靴が履けます。

■サイズ:60×98×70mm
■材質:本体-ポリカーボネート、紐-ポリプロピレン
■重量:約22g
■入数:1個",01301419_5108ad7e7591f.jpg,01301419_5108ad7e7272a.jpg,,,,,,,,,,,,,,,,,,,,,0,,,4,0,0,0,,892,0,0,,,,,,,,,,,,,,,,,5,
